NAME,POS,TEAM,GP,FGM,FGA
Julyan Stone,PG,DEN,4,0.5,0.5
Chris Wilcox,PF,BOS,61,1.8,2.5
Viacheslav Kravtsov,C,DET,25,1.3,1.8
Brandon Rush,SG,GS,2,3.0,4.5
Henry Sims,C,NO,2,1.0,1.5
DeAndre Jordan,C,LAC,82,3.8,6.0
Chris Johnson,PF,MIN,30,1.6,2.5
Tyson Chandler,C,NY,66,3.9,6.1
Greg Smith,PF,HOU,70,2.4,3.9
Ryan Hollins,C,LAC,60,1.2,1.9
Jeremy Evans,SF,UTAH,37,0.7,1.2
Andre Drummond,C,DET,60,3.5,5.7
Hasheem Thabeet,C,OKC,66,1.0,1.6
Kenyon Martin,PF,NY,18,3.1,5.2
Brandan Wright,C,DAL,64,3.8,6.3
Nick Collison,PF,OKC,81,2.2,3.7
Shavlik Randolph,PF,BOS,16,1.8,3.0
Arnett Moultrie,PF,PHI,47,1.7,2.9
Kosta Koufos,C,DEN,81,3.6,6.3
Dwight Howard,C,LAL,76,6.2,10.7
Chris Andersen,PF,MIA,42,1.7,2.9
Amar'e Stoudemire,PF,NY,29,5.3,9.2
JaVale McGee,C,DEN,79,3.8,6.7
Serge Ibaka,PF,OKC,80,5.6,9.7
LeBron James,SF,MIA,76,10.1,17.8
J.J. Hickson,C,POR,80,5.2,9.3
Quincy Acy,SF,TOR,29,1.4,2.6
Tiago Splitter,C,SA,81,3.9,7.0
Jonas Valanciunas,C,TOR,62,3.3,5.9
Amir Johnson,PF,TOR,81,4.1,7.5
Kenneth Faried,SF,DEN,80,4.8,8.6
Gustavo Ayon,PF,MIL/ORL,55,1.7,3.0
Cole Aldrich,C,HOU/SAC,45,1.0,1.8
Meyers Leonard,C,POR,69,2.2,4.0
Enes Kanter,C,UTAH,70,2.9,5.4
Al Horford,C,ATL,74,7.8,14.3
Kurt Thomas,PF,NY,39,1.2,2.1
Samuel Dalembert,C,MIL,47,2.9,5.4
Omer Asik,C,HOU,82,4.0,7.5
Carl Landry,PF,GS,81,4.0,7.4
Ed Davis,PF,TOR/MEM,81,3.2,6.0
Boris Diaw,C,SA,75,2.4,4.4
Blake Griffin,PF,LAC,80,7.2,13.4
Chris Bosh,C,MIA,74,6.6,12.3
Robin Lopez,C,NO,82,4.7,8.8
Aaron Gray,C,TOR,42,1.1,2.1
Thaddeus Young,SF,PHI,76,6.7,12.6
Andrew Nicholson,PF,ORL,75,3.4,6.5
Juwan Howard,PF,MIA,7,1.4,2.7
DeJuan Blair,C,SA,61,2.3,4.4
D.J. White,PF,BOS,12,1.0,1.9
Tony Parker,PG,SA,66,7.9,15.1
Marcin Gortat,C,PHX,61,4.8,9.3
Brook Lopez,C,BKN,74,7.7,14.8
Dwyane Wade,SG,MIA,69,8.2,15.8
Ivan Johnson,PF,ATL,69,2.7,5.2
Nikola Pekovic,C,MIN,62,6.2,12.0
David Lee,PF,GS,79,7.6,14.7
Nikola Vucevic,C,ORL,77,6.0,11.5
Mickael Gelabale,SF,MIN,36,2.0,3.9
Anthony Davis,PF,NO,64,5.5,10.6
Joel Anthony,C,MIA,62,0.6,1.1
Bernard James,C,DAL,46,1.2,2.2
Shawn Marion,SF,DAL,67,5.3,10.3
Udonis Haslem,PF,MIA,75,1.7,3.3
Kyle O'Quinn,PF,ORL,57,1.8,3.5
Patrick Patterson,PF,HOU/SAC,71,4.5,8.8
Andray Blatche,C,BKN,82,4.2,8.2
Kevin Durant,SF,OKC,81,9.0,17.7
Chris Kaman,C,DAL,66,4.7,9.3
Andrei Kirilenko,SF,MIN,64,4.4,8.8
Larry Sanders,C,MIL,71,4.3,8.5
Timofey Mozgov,C,DEN,41,1.1,2.1
Ronny Turiaf,C,LAC,65,0.8,1.5
Tim Duncan,PF,SA,69,7.1,14.1
Jason Thompson,PF,SAC,82,4.6,9.1
Jan Vesely,SF,WSH,51,1.1,2.2
Lance Thomas,SF,NO,59,0.9,1.8
Aron Baynes,PF,SA,16,1.1,2.3
Malcolm Thomas,PF,CHI/GS,12,0.4,0.8
Eddy Curry,C,DAL,2,2.0,4.0
Fab Melo,C,BOS,6,0.5,1.0
Scott Machado,PG,GS/HOU,6,0.5,1.0
Josh Akognon,PG,DAL,3,0.7,1.3
Chris Wright,PG,DAL,3,0.3,0.7
David West,PF,IND,73,6.9,13.8
Steve Nash,PG,LAL,50,4.7,9.5
Jordan Hill,C,LAL,29,2.7,5.3
Kevin Garnett,C,BOS,68,6.2,12.5
Terrence Williams,SG,BOS,24,2.0,4.0
Al Jefferson,C,UTAH,78,7.8,15.8
Kawhi Leonard,SF,SA,58,4.5,9.1
Marc Gasol,C,MEM,80,5.4,10.9
Evan Fournier,SG,DEN,38,2.0,4.0
Jared Sullinger,PF,BOS,45,2.5,5.0
Jose Calderon,PG,DET/TOR,73,4.3,8.7
Anthony Randolph,PF,DEN,39,1.4,2.9
Trevor Booker,PF,WSH,48,2.3,4.6
Paul Millsap,PF,UTAH,78,5.5,11.2
Jason Smith,PF,NO,51,3.3,6.7
Tristan Thompson,PF,CLE,82,4.8,9.7
Matt Bonner,PF,SA,68,1.6,3.4
Greg Monroe,C,DET,81,6.3,13.1
Chandler Parsons,SF,HOU,76,6.0,12.4
Brandon Bass,PF,BOS,81,3.5,7.3
Taj Gibson,PF,CHI,65,3.3,6.8
Jeff Pendergraph,PF,IND,37,1.6,3.4
LaMarcus Aldridge,PF,POR,74,8.6,17.8
Rajon Rondo,PG,BOS,38,5.9,12.2
Jermaine O'Neal,C,PHX,55,3.3,6.7
Derrick Favors,PF,UTAH,77,3.6,7.4
John Henson,PF,MIL,63,2.6,5.3
Chris Paul,PG,LAC,70,5.9,12.2
Joakim Noah,C,CHI,66,4.6,9.5
Jon Leuer,PF,CLE/MEM,28,0.9,1.9
Thabo Sefolosha,SG,OKC,81,2.8,5.8
Nene Hilario,C,WSH,61,4.7,9.7
Shaun Livingston,PG,CLE/WSH,66,2.5,5.2
Andre Miller,PG,DEN,82,3.7,7.7
Chris Copeland,SF,NY,56,3.3,6.8
Reggie Evans,PF,BKN,80,1.6,3.3
Tyreke Evans,PG,SAC,65,5.6,11.8
Anderson Varejao,C,CLE,25,5.5,11.6
Emeka Okafor,C,WSH,79,4.2,8.7
Carlos Boozer,PF,CHI,79,6.9,14.4
Mike Scott,PF,ATL,40,1.8,3.7
Keyon Dooling,PG,MEM,7,1.4,3.0
Andris Biedrins,PF,GS,53,0.2,0.4
Al-Farouq Aminu,SF,NO,76,3.0,6.2
Zaza Pachulia,C,ATL,52,2.2,4.6
P.J. Tucker,SG,PHX,79,2.7,5.6
Elton Brand,PF,DAL,72,3.1,6.6
Luis Scola,PF,PHX,82,5.3,11.2
Dirk Nowitzki,PF,DAL,53,6.5,13.7
Darren Collison,PG,DAL,81,4.2,8.9
Patty Mills,PG,SA,58,1.9,4.2
Will Bynum,PG,DET,65,3.9,8.3
Dante Cunningham,PF,MIN,80,3.9,8.4
Jared Dudley,SG,PHX,79,4.0,8.5
Jimmy Butler,SF,CHI,82,2.9,6.2
Jeff Green,PF,BOS,81,4.6,10.0
Pau Gasol,PF,LAL,49,5.5,11.8
Josh Smith,SF,ATL,76,7.2,15.6
DeMarcus Cousins,C,SAC,75,6.4,13.8
Antawn Jamison,PF,LAL,76,3.5,7.6
Courtney Lee,SG,BOS,78,3.2,6.8
Cory Joseph,PG,SA,28,1.8,3.9
Spencer Hawes,C,PHI,82,4.6,9.9
Kobe Bryant,SG,LAL,78,9.5,20.4
MarShon Brooks,SG,BKN,73,2.1,4.6
Matt Barnes,SF,LAC,80,3.9,8.4
Ersan Ilyasova,SF,MIL,73,5.1,11.0
Wilson Chandler,SG,DEN,43,4.9,10.6
Daniel Orton,C,OKC,13,0.9,2.0
Ty Lawson,PG,DEN,73,6.1,13.3
Willie Green,SG,LAC,72,2.5,5.4
Maurice Harkless,SF,ORL,76,3.4,7.4
Kyle Korver,SF,ATL,74,3.7,8.1
Kevin Seraphin,PF,WSH,79,4.2,9.1
Shelvin Mack,PG,ATL/PHI/WSH,31,1.9,4.1
Zach Randolph,PF,MEM,76,6.2,13.5
DeMarre Carroll,SF,UTAH,66,2.3,4.9
Lance Stephenson,SG,IND,78,3.5,7.7
Kwame Brown,C,PHI,22,0.8,1.7
Damien Wilkins,SG,PHI,61,2.4,5.2
Reggie Jackson,PG,OKC,70,2.1,4.6
Michael Kidd-Gilchrist,SF,CHA,78,3.6,7.9
Terrence Jones,PF,HOU,19,2.3,4.9
Landry Fields,SF,TOR,51,2.0,4.4
Kendrick Perkins,C,OKC,78,1.8,4.0
Greg Stiemsma,C,MIN,76,1.7,3.7
Richard Jefferson,SF,GS,56,1.1,2.4
Donatas Motiejunas,PF,HOU,44,2.2,4.8
Tobias Harris,SF,MIL/ORL,55,4.2,9.3
Josh McRoberts,PF,ORL/CHA,67,2.3,5.1
Pablo Prigioni,PG,NY,78,1.3,2.8
Lavoy Allen,C,PHI,79,2.6,5.7
Ian Mahinmi,C,IND,80,1.9,4.1
Luke Ridnour,PG,MIN,82,4.5,9.9
Aaron Brooks,PG,HOU/SAC,53,2.7,6.0
Kyrie Irving,PG,CLE,59,8.2,18.1
Jarrett Jack,PG,GS,79,4.9,10.8
Darrell Arthur,PF,MEM,59,2.7,6.1
Andrew Bogut,C,GS,32,2.6,5.8
Stephen Curry,PG,GS,78,8.0,17.8
Bismack Biyombo,PF,CHA,80,2.0,4.3
Jeff Teague,PG,ATL,80,5.5,12.2
Andre Iguodala,SG,DEN,80,5.0,11.0
Kevin Martin,SG,OKC,77,4.5,10.1
Jonas Jerebko,PF,DET,49,2.9,6.4
O.J. Mayo,SG,DAL,82,5.6,12.5
Carmelo Anthony,SF,NY,67,10.0,22.2
Ray Allen,SG,MIA,79,3.7,8.2
Kris Humphries,PF,BKN,65,2.1,4.8
Roy Hibbert,C,IND,79,4.9,10.9
Danny Green,SG,SA,80,3.7,8.3
Glen Davis,PF,ORL,34,6.3,14.1
DeAndre Liggins,SG,OKC,39,0.5,1.2
Gerald Henderson,SG,CHA,68,5.6,12.6
Jason Maxiell,PF,DET,72,2.8,6.3
John Jenkins,SG,ATL,61,2.1,4.8
Eric Bledsoe,PG,LAC,76,3.3,7.5
Marreese Speights,PF,CLE/MEM,79,3.3,7.4
